Firm Name,Group,Joint Reporting,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,Grand total
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,no,2024-07-01 to 2024-12-31,68.00%,,65.26%,,,
Accredited Insurance (Europe) Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,,69.79%,,
Acm Ulr Limited,MARKERSTUDY GROUP,no,2024-07-01 to 2024-12-31,,,,89.84%,,
Acorn Insurance & Financial Services Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,,72.47%,,
Action 365 Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,,69.84%,,
Adrian Flux Insurance Services Group,NO GROUP,no,2024-04-01 to 2024-09-30,,,,6.19%,,
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,no,2024-07-01 to 2024-12-31,,,,70.57%,,
Affinity Insurance Solutions Limited,MARKERSTUDY GROUP,no,2024-07-01 to 2024-12-31,,,,16.98%,,
Ageas Insurance Limited,AGEAS SA-NV,no,2024-07-01 to 2024-12-31,,,,64.81%,,
Ageas Retail Limited,AGEAS SA-NV,no,2024-07-01 to 2024-12-31,,,,51.26%,,
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,yes,2024-07-01 to 2024-12-31,,,,82.04%,,
AJ Bell Management Limited,AJ BELL GROUP,yes,2024-04-01 to 2024-09-30,,55.76%,,,,
AJ Bell Securities Limited,AJ BELL GROUP,no,2024-04-01 to 2024-09-30,57.89%,72.96%,,,57.90%,
Aldermore Bank Plc,FIRSTRAND LIMITED,no,2024-07-01 to 2024-12-31,60.41%,,66.38%,,,
Allianz Insurance Plc,ALLIANZ SE,no,2024-07-01 to 2024-12-31,,,,74.26%,,
AMERICAN EXPRESS SERVICES EUROPE LIMITED,NO GROUP,no,2024-07-01 to 2024-12-31,86.69%,,,100.00%,,
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",yes,2024-07-01 to 2024-12-31,,,,82.02%,,
AmTrust Specialty Limited,NO GROUP,yes,2024-07-01 to 2024-12-31,,,,76.73%,,
Animal Friends Insurance Services Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,,74.94%,,
ARAG Legal Expenses Insurance Company Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,81.78%,,
Arthur J. Gallagher Insurance Brokers Limited,ARTHUR J GALLAGHER (UK) LTD,yes,2024-07-01 to 2024-12-31,,,,63.65%,,
Assurant General Insurance Limited,ASSURANT INC,no,2024-07-01 to 2024-12-31,,,,34.86%,,
Astrenska Insurance Limited,NO GROUP,no,2024-05-01 to 2024-10-31,,,,79.15%,,
Asurion Europe Limited,ASURION,no,2024-07-01 to 2024-12-31,,,,55.77%,,
Atlanta Insurance Intermediaries Limited,MARKERSTUDY GROUP,no,2024-07-01 to 2024-12-31,,,,32.24%,,
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),no,2024-02-01 to 2024-07-31,,,,,,
Avantia Insurance Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,33.15%,,
