Firm Name,Group,Joint Reporting,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,no,2024-07-01 to 2024-12-31,32.00%,,32.40%,,,
Accredited Insurance (Europe) Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,,27.87%,,
Acm Ulr Limited,MARKERSTUDY GROUP,no,2024-07-01 to 2024-12-31,,,,8.60%,,
Acorn Insurance & Financial Services Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,,27.40%,,
Action 365 Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,,21.24%,,
Adrian Flux Insurance Services Group,NO GROUP,no,2024-04-01 to 2024-09-30,,,,93.69%,,
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,no,2024-07-01 to 2024-12-31,,,,21.98%,,
Affinity Insurance Solutions Limited,MARKERSTUDY GROUP,no,2024-07-01 to 2024-12-31,,,,82.78%,,
Ageas Insurance Limited,AGEAS SA-NV,no,2024-07-01 to 2024-12-31,,,,26.85%,,
Ageas Retail Limited,AGEAS SA-NV,no,2024-07-01 to 2024-12-31,,,,48.34%,,
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,yes,2024-07-01 to 2024-12-31,,,,15.72%,,
AJ Bell Management Limited,AJ BELL GROUP,yes,2024-04-01 to 2024-09-30,,43.82%,,,,
AJ Bell Securities Limited,AJ BELL GROUP,no,2024-04-01 to 2024-09-30,42.11%,27.04%,,,41.70%,
Aldermore Bank Plc,FIRSTRAND LIMITED,no,2024-07-01 to 2024-12-31,35.84%,,28.25%,,,
Allianz Insurance Plc,ALLIANZ SE,no,2024-07-01 to 2024-12-31,,,,24.14%,,
AMERICAN EXPRESS SERVICES EUROPE LIMITED,NO GROUP,no,2024-07-01 to 2024-12-31,13.30%,,,0.00%,,
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",yes,2024-07-01 to 2024-12-31,,,,16.80%,,
AmTrust Specialty Limited,NO GROUP,yes,2024-07-01 to 2024-12-31,,,,16.54%,,
Animal Friends Insurance Services Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,,24.99%,,
ARAG Legal Expenses Insurance Company Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,7.65%,,
Arthur J. Gallagher Insurance Brokers Limited,ARTHUR J GALLAGHER (UK) LTD,yes,2024-07-01 to 2024-12-31,,,,34.06%,,
Assurant General Insurance Limited,ASSURANT INC,no,2024-07-01 to 2024-12-31,,,,57.60%,,
Astrenska Insurance Limited,NO GROUP,no,2024-05-01 to 2024-10-31,,,,18.73%,,
Asurion Europe Limited,ASURION,no,2024-07-01 to 2024-12-31,,,,43.82%,,
Atlanta Insurance Intermediaries Limited,MARKERSTUDY GROUP,no,2024-07-01 to 2024-12-31,,,,67.26%,,
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),no,2024-02-01 to 2024-07-31,,,,,,
Avantia Insurance Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,66.85%,,
Aviva Health UK Limited,AVIVA PLC,no,2024-07-01 to 2024-12-31,,,,49.42%,,
Aviva Insurance Limited,AVIVA PLC,no,2024-07-01 to 2024-12-31,,,,31.91%,,
Aviva Life Services UK Limited,AVIVA PLC,yes,2024-07-01 to 2024-12-31,,27.02%,26.14%,27.55%,30.10%,
Aviva Protection UK Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,31.44%,,
AWP Assistance UK Ltd,ALLIANZ SE,yes,2024-07-01 to 2024-12-31,,,,27.51%,,
AWP P&C S.A.,ALLIANZ SE,yes,2024-07-01 to 2024-12-31,,,,20.01%,,
AXA Insurance Designated Activity Company,AXA GROUP,no,2024-07-01 to 2024-12-31,,,,85.80%,,
AXA Insurance UK Plc,AXA GROUP,no,2024-07-01 to 2024-12-31,,,,30.15%,,
