Firm Name,Group,Joint Reporting,Reporting frequency,Reporting period,Semester,Complaints Received,Complaints Closed,Complaints Upheld (%)
ACI-UK LIMITED,NO GROUP,,Half Yearly,2024-04-01 to 2024-09-30,2024 H2,734,704,41.19%
Acorn Insurance & Financial Services Ltd,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,12,13,69.23%
Adrian Flux Insurance Services Group,NO GROUP,no,Half Yearly,2024-04-01 to 2024-09-30,2024 H2,12,12,0.00%
Advantage Finance Ltd,NO GROUP,no,Half Yearly,2024-02-01 to 2024-07-31,2024 H2,"2,878","2,956",10.22%
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,10,9,33.33%
Ageas Retail Limited,AGEAS SA-NV,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,105,105,38.10%
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,yes,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,59,80,63.75%
Ald Automotive Limited,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"1,552",920,54.02%
Aldermore Bank Plc,FIRSTRAND LIMITED,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,621,60,40.00%
Alphabet (GB) Ltd,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,659,693,41.27%
Arthur J. Gallagher Insurance Brokers Limited,ARTHUR J GALLAGHER (UK) LTD,yes,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,5,5,100.00%
Arval UK Limited,BNP PARIBAS GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,916,"1,043",70.09%
Atlanta Insurance Intermediaries Limited,MARKERSTUDY GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,153,153,41.83%
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),no,Half Yearly,2024-02-01 to 2024-07-31,2024 H2,577,570,46.14%
Avantia Insurance Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,66,63,20.63%
AXA Insurance Designated Activity Company,AXA GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,162,163,60.12%
