Firm Name,Group,Joint Reporting,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,no,2024-07-01 to 2024-12-31,88.00%,,65.03%,,,
Accredited Insurance (Europe) Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,,38.85%,,
Acm Ulr Limited,MARKERSTUDY GROUP,no,2024-07-01 to 2024-12-31,,,,42.65%,,
Acorn Insurance & Financial Services Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,,51.69%,,
Action 365 Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,,31.36%,,
Adrian Flux Insurance Services Group,NO GROUP,no,2024-04-01 to 2024-09-30,,,,20.12%,,
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,no,2024-07-01 to 2024-12-31,,,,59.13%,,
Affinity Insurance Solutions Limited,MARKERSTUDY GROUP,no,2024-07-01 to 2024-12-31,,,,24.91%,,
Ageas Insurance Limited,AGEAS SA-NV,no,2024-07-01 to 2024-12-31,,,,46.54%,,
Ageas Retail Limited,AGEAS SA-NV,no,2024-07-01 to 2024-12-31,,,,45.63%,,
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,yes,2024-07-01 to 2024-12-31,,,,54.34%,,
AJ Bell Management Limited,AJ BELL GROUP,yes,2024-04-01 to 2024-09-30,,50.88%,,,,
AJ Bell Securities Limited,AJ BELL GROUP,no,2024-04-01 to 2024-09-30,36.84%,59.18%,,,54.32%,
Aldermore Bank Plc,FIRSTRAND LIMITED,no,2024-07-01 to 2024-12-31,67.58%,,64.88%,,,
Allianz Insurance Plc,ALLIANZ SE,no,2024-07-01 to 2024-12-31,,,,57.22%,,
AMERICAN EXPRESS SERVICES EUROPE LIMITED,NO GROUP,no,2024-07-01 to 2024-12-31,32.67%,,,23.44%,,
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",yes,2024-07-01 to 2024-12-31,,,,47.43%,,
AmTrust Specialty Limited,NO GROUP,yes,2024-07-01 to 2024-12-31,,,,49.39%,,
Animal Friends Insurance Services Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,,31.34%,,
ARAG Legal Expenses Insurance Company Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,70.28%,,
Arthur J. Gallagher Insurance Brokers Limited,ARTHUR J GALLAGHER (UK) LTD,yes,2024-07-01 to 2024-12-31,,,,62.32%,,
Assurant General Insurance Limited,ASSURANT INC,no,2024-07-01 to 2024-12-31,,,,40.94%,,
Astrenska Insurance Limited,NO GROUP,no,2024-05-01 to 2024-10-31,,,,51.98%,,
Asurion Europe Limited,ASURION,no,2024-07-01 to 2024-12-31,,,,21.84%,,
Atlanta Insurance Intermediaries Limited,MARKERSTUDY GROUP,no,2024-07-01 to 2024-12-31,,,,42.68%,,
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),no,2024-02-01 to 2024-07-31,,,,,,
Avantia Insurance Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,36.44%,,
Aviva Health UK Limited,AVIVA PLC,no,2024-07-01 to 2024-12-31,,,,36.72%,,
Aviva Insurance Limited,AVIVA PLC,no,2024-07-01 to 2024-12-31,,,,58.48%,,
Aviva Life Services UK Limited,AVIVA PLC,yes,2024-07-01 to 2024-12-31,,66.52%,39.96%,57.31%,71.04%,
Aviva Protection UK Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,47.10%,,
AWP Assistance UK Ltd,ALLIANZ SE,yes,2024-07-01 to 2024-12-31,,,,86.93%,,
AWP P&C S.A.,ALLIANZ SE,yes,2024-07-01 to 2024-12-31,,,,42.02%,,
AXA Insurance Designated Activity Company,AXA GROUP,no,2024-07-01 to 2024-12-31,,,,55.24%,,
AXA Insurance UK Plc,AXA GROUP,no,2024-07-01 to 2024-12-31,,,,58.32%,,
AXA PPP Healthcare Limited,AXA GROUP,no,2024-07-01 to 2024-12-31,,,,56.03%,,
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,yes,2024-07-01 to 2024-12-31,45.79%,,29.25%,,,
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,67.57%,41.67%,55.51%,15.20%,34.78%,
Barclays Bank Plc,BARCLAYS PLC,yes,2024-07-01 to 2024-12-31,60.89%,53.33%,100.00%,100.00%,66.91%,
Barclays Bank UK PLC,BARCLAYS PLC,yes,2024-07-01 to 2024-12-31,65.89%,52.00%,75.60%,21.72%,37.25%,
BISL Limited,MARKERSTUDY GROUP,no,2024-07-01 to 2024-12-31,,,,37.22%,,
British Gas Services Limited,NO GROUP,yes,2024-07-01 to 2024-12-31,,,,95.49%,,
BUPA Insurance Services Limited,BUPA GROUP,yes,2024-07-01 to 2024-12-31,,,,56.76%,,
Cabot Credit Management Group Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,39.29%,,,
Call Assist Ltd,CALL ASSIST LIMITED,yes,2024-05-01 to 2024-10-31,,,,41.92%,,
